,Nr. of Sect. Chd,min. Chd Diameter,max. Chd Diameter,initial $\mu$ 3D,initial $\sigma$ 3D,$\mu$ Fit 3D,$\sigma$ Fit 3D,mean 3D,median 3D,mode 3D,$\mu$ Fit 2D,$\sigma$ Fit 2D,mean 2D,median 2D,mode 2D
6444,7753,360,4000,6.6,0.35,6.618359187903408,0.33101152881742957,790.8778286022268,748.7155870980603,671.0143721161592,6.4276508219163135,0.529509804856662,711.8314377397583,618.7187588843937,467.4396214816344
6445,7713,380,4000,6.6,0.35,6.6249006981040015,0.32548448035018374,794.6253705510806,753.6293720131976,677.8734042800249,6.431680279679734,0.5273838871750164,713.9030450735793,621.2168896669116,470.382651329819
6446,7661,400,4000,6.6,0.35,6.632772241516056,0.31932069735118224,799.3149876249845,759.5850076021479,685.951231272463,6.436649433202675,0.5249897529246156,716.556108640955,624.3114941773756,473.91841779578886
6447,7997,0,4000,6.6,0.4,6.600216688779874,0.3997340721297607,796.4069930602623,735.2544933807069,626.6758118069913,6.45593700625913,0.5664776003189368,747.2392702594607,636.4698231439261,461.7576261028008
6448,7997,20,4000,6.6,0.4,6.600216688779874,0.3997340721297607,796.4069930602623,735.2544933807069,626.6758118069913,6.45593700625913,0.5664776003189368,747.2392702594607,636.4698231439261,461.7576261028008
6449,7997,40,4000,6.6,0.4,6.600216688779874,0.3997340721297607,796.4069930602623,735.2544933807069,626.6758118069913,6.45593700625913,0.5664776003189368,747.2392702594607,636.4698231439261,461.7576261028008
6450,7997,60,4000,6.6,0.4,6.600216688779874,0.3997340721297607,796.4069930602623,735.2544933807069,626.6758118069913,6.45593700625913,0.5664776003189368,747.2392702594607,636.4698231439261,461.7576261028008
6451,7997,80,4000,6.6,0.4,6.600216688779874,0.3997340721297607,796.4069930602623,735.2544933807069,626.6758118069913,6.45593700625913,0.5664776003189368,747.2392702594607,636.4698231439261,461.7576261028008
6452,7997,100,4000,6.6,0.4,6.600216688779874,0.3997340721297607,796.4069930602623,735.2544933807069,626.6758118069913,6.45593700625913,0.5664776003189368,747.2392702594607,636.4698231439261,461.7576261028008
6453,7997,120,4000,6.6,0.4,6.600218547408774,0.3997299510034495,796.4071613273718,735.2558599472275,626.6790412770094,6.45593700625913,0.5664776003189368,747.2392702594607,636.4698231439261,461.7576261028008
